leaf_path	block_idx	runnability	label	exit_code	bucket	expected_count	actual_lines	expected_match	expected_crash
01_The-Unix-Model-from-Bash/01_Processes-fork-exec-wait.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	1	2	MISSING:1/1	0
01_The-Unix-Model-from-Bash/01_Processes-fork-exec-wait.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	1	2	MISSING:1/1	0
01_The-Unix-Model-from-Bash/01_Processes-fork-exec-wait.md	3	RUNNABLE	NEUTRAL	1	CRASH	1	1	-	0
01_The-Unix-Model-from-Bash/02_The-file-descriptor-model.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	1	5	MISSING:1/1	0
01_The-Unix-Model-from-Bash/02_The-file-descriptor-model.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	1	1	MISSING:1/1	0
01_The-Unix-Model-from-Bash/02_The-file-descriptor-model.md	4	RUNNABLE	MIXED	127	CRASH	0	0	-	0
01_The-Unix-Model-from-Bash/03_Files-directories-and-special-files.md	1	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
01_The-Unix-Model-from-Bash/04_Streams-and-the-standard-descriptors.md	1	RUNNABLE	NEUTRAL	0	MISSING_ANNOT	0	1	-	0
01_The-Unix-Model-from-Bash/04_Streams-and-the-standard-descriptors.md	2	RUNNABLE	MIXED	1	CRASH	0	0	-	0
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	1	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	3	RUNNABLE	NEUTRAL	128	CRASH	1	0	-	0
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	4	RUNNABLE	MIXED	127	CRASH	0	0	-	0
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	1	RUNNABLE	NEUTRAL	42	CRASH	2	0	-	0
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	3	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	4	RUNNABLE	MIXED	232	CRASH	0	0	-	0
01_The-Unix-Model-from-Bash/09_The-controlling-terminal-and-TTY-layer.md	3	RUNNABLE	NEUTRAL	0	MISSING_ANNOT	0	1	-	0
02_Bash-as-a-Program/02_Bash-version-landscape.md	1	RUNNABLE	NEUTRAL	0	OK	6	6	OK	0
02_Bash-as-a-Program/03_Build-configuration-and-feature-detection.md	1	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
02_Bash-as-a-Program/03_Build-configuration-and-feature-detection.md	2	RUNNABLE	NEUTRAL	0	OK	3	3	OK	0
02_Bash-as-a-Program/04_Invocation-modes.md	2	RUNNABLE	MIXED	0	MISMATCH	1	332	MISSING:1/1	0
02_Bash-as-a-Program/04_Invocation-modes.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	1	1	MISSING:1/1	0
02_Bash-as-a-Program/05_Startup-file-chains.md	2	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
02_Bash-as-a-Program/05_Startup-file-chains.md	3	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
02_Bash-as-a-Program/06_BASH_ENV-and-ENV.md	1	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
02_Bash-as-a-Program/07_Command-line-options-to-bash-itself.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	5	5	MISSING:3/5	0
02_Bash-as-a-Program/07_Command-line-options-to-bash-itself.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	3	3	MISSING:2/3	0
02_Bash-as-a-Program/08_Exit-and-shell-session-lifecycle.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	2	2	MISSING:2/2	0
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	1	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	2	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
03_Lexical-Structure-and-Shell-Grammar/02_Reserved-words.md	2	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
03_Lexical-Structure-and-Shell-Grammar/02_Reserved-words.md	3	RUNNABLE	NEUTRAL	127	CRASH	1	1	-	0
03_Lexical-Structure-and-Shell-Grammar/03_Comments.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	5	3	MISSING:5/5	0
03_Lexical-Structure-and-Shell-Grammar/03_Comments.md	2	RUNNABLE	MIXED	0	NO_EXPECTED	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	1	RUNNABLE	NEUTRAL	2	CRASH	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	3	3	MISSING:2/3	0
03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	3	RUNNABLE	MIXED	1	CRASH	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	4	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
03_Lexical-Structure-and-Shell-Grammar/05_Single-quotes.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	3	3	MISSING:1/3	0
03_Lexical-Structure-and-Shell-Grammar/05_Single-quotes.md	2	RUNNABLE	MIXED	1	CRASH	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/06_Double-quotes.md	1	RUNNABLE	NEUTRAL	0	OK	6	6	OK	0
03_Lexical-Structure-and-Shell-Grammar/06_Double-quotes.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	4	5	MISSING:3/4	0
03_Lexical-Structure-and-Shell-Grammar/06_Double-quotes.md	3	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
03_Lexical-Structure-and-Shell-Grammar/06_Double-quotes.md	4	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/07_ANSI-C-quoting.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	3	3	MISSING:3/3	0
03_Lexical-Structure-and-Shell-Grammar/07_ANSI-C-quoting.md	2	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/07_ANSI-C-quoting.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	3	3	MISSING:3/3	0
03_Lexical-Structure-and-Shell-Grammar/09_Backslash-escapes.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	10	10	MISSING:7/10	0
03_Lexical-Structure-and-Shell-Grammar/09_Backslash-escapes.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	1	0	MISSING:1/1	0
03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	2	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	4	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/11_Operator-precedence.md	1	RUNNABLE	NEUTRAL	127	CRASH	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/11_Operator-precedence.md	2	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
03_Lexical-Structure-and-Shell-Grammar/11_Operator-precedence.md	3	RUNNABLE	RIGHT	127	CRASH	0	0	-	0
03_Lexical-Structure-and-Shell-Grammar/11_Operator-precedence.md	4	RUNNABLE	NEUTRAL	2	CRASH	0	1	-	0
04_Parameters-Variables-and-Arrays/01_Parameter-taxonomy.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	4	4	MISSING:2/4	0
04_Parameters-Variables-and-Arrays/02_Positional-parameters.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	3	15	MISSING:3/3	0
04_Parameters-Variables-and-Arrays/02_Positional-parameters.md	2	RUNNABLE	NEUTRAL	0	OK	1	2	OK	0
